Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
14,2021-01-23,6,Family,Group Tour,Family election green process,Morning,189.35,7,15,2021-02-07,2,Mobile App,PayPal,14,Harold Gonzalez,Male,Gen X,Single,robinsonmark@example.com,Business Traveler
15,2021-03-04,5,Gastronomy,Guided Tour,Sense control break,Evening,37.89,9,11,2021-03-15,3,Partner Site,Card,15,Luke Frey,Female,Gen X,Widowed,thunt@example.org,Family
16,2021-12-29,6,Family,Self-Guided,Movie raise half,Evening,90.28,10,7,2022-01-05,2,Mobile App,Transaction,16,Shelby Ford,Female,Gen Z,Widowed,gortiz@example.com,Budget Traveler
17,2021-07-18,4,Spa&Relax,Group Tour,Region price challenge,Evening,75.28,9,22,2021-08-09,3,Partner Site,Transaction,17,Matthew Mcneil,Male,Gen X,Married,tonyrussell@example.com,Budget Traveler
18,2021-06-07,6,Family,Self-Guided,Me best,Half Day,150.61,10,14,2021-06-21,4,Travel Agency,Transaction,18,Brian Aguirre,Male,Gen Z,Divorced,michelle59@example.com,Luxury Seeker
19,2021-05-15,4,Spa&Relax,Walking Tour,Painting understand,Morning,77.34,2,5,2021-05-20,4,Travel Agency,PayPal,19,Jessica Carroll,Male,Millennial,Divorced,wayne29@example.com,Family
20,2021-07-28,5,Gastronomy,Group Tour,Dog soon parent,Evening,123.18,10,12,2021-08-09,3,Partner Site,Transaction,20,Michele Meyer,Male,Millennial,Widowed,heather41@example.com,Business Traveler
21,2021-08-14,1,Culture,Group Tour,Red shoulder,Personalized,63.52,2,8,2021-08-22,2,Mobile App,Card,21,Daniel Collins,Male,Gen X,Divorced,bakerrenee@example.com,Budget Traveler
22,2021-04-09,2,Sport,Bus Tour,Reveal without,Morning,79.0,3,24,2021-05-03,2,Mobile App,Card,22,James Kirby,Male,Gen X,Single,larrythomas@example.com,Luxury Seeker
23,2021-07-12,3,Adventure,Group Tour,Almost against,Whole Day,185.07,5,12,2021-07-24,4,Travel Agency,Card,23,Caitlin Santiago,Female,Gen X,Married,dfields@example.org,Family
24,2021-03-20,3,Adventure,VIP Experience,Edge left herself,Half Day,112.58,2,30,2021-04-19,4,Travel Agency,Card,24,Robin Williams,Male,Boomer,Single,qclarke@example.com,Luxury Seeker
25,2021-08-10,4,Spa&Relax,Self-Guided,Major baby population old,Whole Day,43.35,4,4,2021-08-14,1,Website,Card,25,Matthew Miranda,Female,Gen Z,Widowed,howelljustin@example.com,Solo Traveler
26,2021-03-07,3,Adventure,Self-Guided,Exactly source,Half Day,57.37,4,27,2021-04-03,4,Travel Agency,Card,26,Nicholas Nelson,Male,Boomer,Married,porterwilliam@example.net,Luxury Seeker
27,2021-02-28,3,Adventure,Walking Tour,Apply century,Evening,134.9,6,13,2021-03-13,4,Travel Agency,Card,27,Peter Clark,Male,Gen X,Married,smithbrenda@example.com,Budget Traveler
28,2021-01-18,6,Family,Walking Tour,Situation behavior,Morning,142.04,6,24,2021-02-11,2,Mobile App,PayPal,28,Steven Calderon,Male,Boomer,Married,kthompson@example.org,Luxury Seeker
29,2021-10-03,5,Gastronomy,Self-Guided,Yourself focus drive,Whole Day,67.38,7,30,2021-11-02,3,Partner Site,Transaction,29,Melissa Johnson,Female,Millennial,Widowed,scooper@example.com,Budget Traveler
30,2021-05-02,6,Family,Guided Tour,Up executive carry,Morning,71.71,3,27,2021-05-29,4,Travel Agency,Card,30,Craig Morrow,Male,Gen X,Single,kimberlyrosales@example.net,Family
31,2021-07-31,2,Sport,Walking Tour,This term,Evening,181.08,6,26,2021-08-26,1,Website,Card,31,Kenneth Williams,Male,Gen Z,Divorced,anna08@example.org,Family
32,2021-04-25,5,Gastronomy,Guided Tour,Decade brother,Evening,85.48,9,30,2021-05-25,2,Mobile App,Card,32,Jennifer Wise,Female,Gen Z,Widowed,doris49@example.org,Budget Traveler
33,2021-03-20,5,Gastronomy,Bus Tour,Police not themselves,Half Day,59.41,6,14,2021-04-03,3,Partner Site,PayPal,33,Timothy Sanford,Female,Millennial,Divorced,ostevenson@example.org,Business Traveler
34,2021-03-21,5,Gastronomy,Guided Tour,Responsibility prepare,Personalized,66.91,9,3,2021-03-24,2,Mobile App,Transaction,34,Michelle Williams,Female,Gen X,Widowed,urodriguez@example.org,Business Traveler
35,2021-11-20,1,Culture,Self-Guided,Personal most,Morning,107.9,9,2,2021-11-22,2,Mobile App,Card,35,James Smith,Male,Boomer,Married,kortega@example.org,Solo Traveler
36,2021-03-27,5,Gastronomy,Bus Tour,Month heavy,Morning,21.81,7,1,2021-03-28,3,Partner Site,PayPal,36,Mary Wilson MD,Female,Gen Z,Single,stephensstacy@example.org,Solo Traveler
37,2021-03-01,3,Adventure,Group Tour,Truth news,Evening,82.46,6,1,2021-03-02,3,Partner Site,Transaction,37,Yolanda Frazier,Male,Boomer,Divorced,townsenddonald@example.net,Business Traveler
38,2021-11-05,5,Gastronomy,Group Tour,Last third dream,Half Day,49.48,7,28,2021-12-03,2,Mobile App,PayPal,38,Eric Hopkins,Male,Gen Z,Divorced,obrienerin@example.com,Luxury Seeker
39,2021-04-24,4,Spa&Relax,Guided Tour,Really model eat,Whole Day,123.35,1,2,2021-04-26,1,Website,PayPal,39,Meredith Martin,Female,Gen Z,Married,alvaradojesse@example.net,Solo Traveler
40,2021-04-12,5,Gastronomy,Walking Tour,Century different little general,Whole Day,172.12,4,11,2021-04-23,2,Mobile App,Card,40,Frank Lawson,Male,Boomer,Single,penachristy@example.com,Luxury Seeker
41,2021-10-25,2,Sport,VIP Experience,Catch time past,Evening,142.28,3,7,2021-11-01,1,Website,PayPal,41,Cynthia Sampson,Male,Millennial,Divorced,johnsonmelissa@example.com,Family
42,2021-03-29,2,Sport,Self-Guided,Defense mind,Personalized,48.12,5,5,2021-04-03,3,Partner Site,Card,42,Wayne Flores,Male,Millennial,Married,stacyphillips@example.net,Luxury Seeker
43,2021-01-21,1,Culture,Walking Tour,Realize office,Half Day,43.29,1,1,2021-01-22,2,Mobile App,Transaction,43,Luis Bush,Male,Gen X,Married,sydneycox@example.com,Family
44,2021-10-09,5,Gastronomy,Group Tour,School agree ability,Personalized,37.26,1,21,2021-10-30,2,Mobile App,PayPal,44,Vicki Lyons,Male,Millennial,Divorced,erika44@example.net,Solo Traveler
45,2021-11-26,4,Spa&Relax,Group Tour,Man center,Half Day,125.91,2,21,2021-12-17,3,Partner Site,PayPal,45,Anthony Garcia,Female,Boomer,Divorced,msmith@example.net,Budget Traveler
46,2021-02-22,5,Gastronomy,Group Tour,Bill prepare,Evening,124.4,9,25,2021-03-19,3,Partner Site,Card,46,Luis Brown,Female,Gen Z,Divorced,kimberly98@example.org,Budget Traveler
47,2021-08-11,1,Culture,Bus Tour,Ago world,Evening,27.15,9,7,2021-08-18,1,Website,PayPal,47,Michael Rodriguez,Male,Millennial,Widowed,halltommy@example.net,Budget Traveler
48,2021-10-23,2,Sport,Walking Tour,Area change,Morning,96.15,3,16,2021-11-08,2,Mobile App,PayPal,48,Linda Jackson,Male,Boomer,Married,lisa75@example.com,Solo Traveler
49,2021-12-10,2,Sport,Self-Guided,Choose Democrat,Morning,166.1,3,19,2021-12-29,4,Travel Agency,Transaction,49,Anthony Farmer,Female,Boomer,Married,pcarrillo@example.net,Business Traveler
50,2021-03-24,3,Adventure,Guided Tour,Reduce someone,Personalized,48.12,3,23,2021-04-16,3,Partner Site,PayPal,50,Brian Hughes,Male,Millennial,Married,nhouston@example.net,Luxury Seeker
51,2021-03-09,2,Sport,Guided Tour,Town major,Personalized,149.73,3,17,2021-03-26,1,Website,Card,51,Brett Clark,Female,Millennial,Married,michael58@example.org,Luxury Seeker
52,2021-09-06,1,Culture,Group Tour,Water while view huge,Half Day,107.36,6,20,2021-09-26,1,Website,Transaction,52,Troy Harper,Female,Gen Z,Single,megan09@example.net,Family
53,2021-08-09,2,Sport,Self-Guided,Themselves avoid,Morning,186.4,5,3,2021-08-12,2,Mobile App,Transaction,53,Jacob Clark,Male,Gen X,Divorced,mpatterson@example.com,Solo Traveler
54,2021-10-23,1,Culture,VIP Experience,Trade without compare,Personalized,59.69,8,22,2021-11-14,2,Mobile App,Transaction,54,Taylor Hammond,Female,Gen Z,Divorced,amy47@example.com,Solo Traveler
55,2021-06-12,5,Gastronomy,Bus Tour,Group professional quality main,Half Day,55.39,3,23,2021-07-05,4,Travel Agency,PayPal,55,Bruce Russell,Male,Gen X,Married,shelley06@example.com,Family
56,2021-08-21,6,Family,Guided Tour,Including evidence front between,Half Day,148.82,9,27,2021-09-17,4,Travel Agency,Transaction,56,Abigail Jensen,Female,Gen Z,Single,robert70@example.com,Family
57,2021-12-05,1,Culture,VIP Experience,Interesting help,Morning,81.25,4,25,2021-12-30,4,Travel Agency,PayPal,57,Lisa Williams,Female,Gen Z,Married,gloverkevin@example.com,Family
58,2021-06-08,2,Sport,Guided Tour,Room,Half Day,22.52,8,5,2021-06-13,4,Travel Agency,Card,58,Jean Hunter,Female,Gen Z,Widowed,williamjohnson@example.com,Business Traveler
59,2021-02-09,3,Adventure,Group Tour,Central let a,Evening,71.32,5,17,2021-02-26,3,Partner Site,Card,59,Margaret Johnson,Male,Gen X,Married,henrythompson@example.org,Family
60,2021-10-25,3,Adventure,Walking Tour,Night company,Personalized,134.84,7,28,2021-11-22,4,Travel Agency,Transaction,60,Mikayla Baker,Male,Millennial,Widowed,iwerner@example.com,Budget Traveler
61,2021-05-27,2,Sport,Bus Tour,Food rest,Morning,164.51,3,11,2021-06-07,3,Partner Site,Transaction,61,Elaine Marshall,Male,Gen Z,Single,umccoy@example.net,Family
62,2021-02-07,4,Spa&Relax,Guided Tour,Pull way,Morning,196.12,6,24,2021-03-03,2,Mobile App,PayPal,62,Paul Castro,Female,Boomer,Widowed,jessicapayne@example.org,Business Traveler
63,2021-12-15,6,Family,VIP Experience,Wrong dinner matter produce,Morning,190.94,1,26,2022-01-10,3,Partner Site,Transaction,63,Lori Morrison,Female,Gen X,Widowed,hamiltonmichael@example.com,Budget Traveler
64,2021-12-25,4,Spa&Relax,Self-Guided,Republican century nearly list,Half Day,171.45,4,7,2022-01-01,3,Partner Site,Card,64,Angela Esparza,Male,Gen Z,Widowed,joneschristopher@example.net,Family
65,2021-04-28,6,Family,Bus Tour,Leader she business,Half Day,45.24,5,28,2021-05-26,4,Travel Agency,Transaction,65,Lawrence Allen,Male,Gen X,Married,kjefferson@example.net,Family
66,2021-08-25,6,Family,Guided Tour,Upon approach,Evening,32.82,1,23,2021-09-17,2,Mobile App,Transaction,66,Diane Carney,Female,Millennial,Single,cassie61@example.net,Budget Traveler
67,2021-09-12,3,Adventure,Bus Tour,Tonight while article,Evening,116.03,10,3,2021-09-15,1,Website,Transaction,67,Heidi Henry,Female,Millennial,Single,josechambers@example.com,Luxury Seeker
68,2021-05-19,2,Sport,Bus Tour,Save collection admit federal,Evening,69.61,3,12,2021-05-31,4,Travel Agency,PayPal,68,Jordan Phillips,Female,Boomer,Single,walterjacob@example.net,Solo Traveler
69,2021-12-26,6,Family,Bus Tour,Fly now strategy,Evening,72.28,8,21,2022-01-16,2,Mobile App,Transaction,69,Carrie Murphy,Female,Millennial,Single,lance51@example.net,Solo Traveler
70,2021-01-19,5,Gastronomy,Walking Tour,Day hard language,Whole Day,151.71,1,15,2021-02-03,1,Website,Card,70,Aaron Huff,Male,Gen X,Divorced,lclayton@example.com,Business Traveler
71,2021-09-13,4,Spa&Relax,VIP Experience,Toward,Morning,189.64,1,12,2021-09-25,1,Website,Card,71,Anna Santiago,Female,Gen X,Single,daniel51@example.org,Budget Traveler
72,2021-11-14,5,Gastronomy,Walking Tour,Energy television day,Whole Day,138.42,5,9,2021-11-23,1,Website,PayPal,72,Emily Frank,Male,Millennial,Single,brianna58@example.org,Family
73,2021-07-08,1,Culture,Self-Guided,Say really on,Personalized,128.17,10,6,2021-07-14,1,Website,Transaction,73,Stacey Perry,Female,Gen X,Single,hooverpaul@example.net,Family
74,2021-09-18,1,Culture,Walking Tour,Our itself,Evening,27.22,2,5,2021-09-23,3,Partner Site,Transaction,74,Joseph Thompson,Male,Gen Z,Single,amartinez@example.org,Family
75,2021-10-04,1,Culture,Guided Tour,Government baby,Whole Day,85.6,6,26,2021-10-30,4,Travel Agency,Transaction,75,Thomas Farmer,Female,Gen Z,Widowed,michael96@example.net,Solo Traveler
76,2021-02-12,4,Spa&Relax,Group Tour,Week light region,Morning,136.55,1,25,2021-03-09,3,Partner Site,Card,76,Shirley Hart,Female,Millennial,Divorced,egonzalez@example.com,Budget Traveler
77,2021-08-09,1,Culture,VIP Experience,Reason environmental realize,Morning,41.68,6,13,2021-08-22,2,Mobile App,PayPal,77,Joshua Wells,Female,Gen Z,Married,hharrell@example.net,Budget Traveler
78,2021-07-20,2,Sport,VIP Experience,Picture production,Evening,40.67,6,25,2021-08-14,3,Partner Site,Card,78,Melanie Wilson,Male,Gen Z,Widowed,jesuskennedy@example.com,Luxury Seeker
79,2021-12-07,1,Culture,Self-Guided,Decade behind,Half Day,155.25,8,28,2022-01-04,2,Mobile App,PayPal,79,Donald Soto,Male,Gen Z,Widowed,dsmith@example.org,Budget Traveler
80,2021-02-26,1,Culture,Bus Tour,Me sign indicate,Morning,191.68,7,11,2021-03-09,4,Travel Agency,Card,80,Jordan Malone,Female,Gen X,Married,skinnerjenny@example.org,Budget Traveler
81,2021-09-20,2,Sport,Group Tour,Common anything,Whole Day,53.64,1,16,2021-10-06,1,Website,PayPal,81,Brenda Suarez,Male,Gen X,Single,julian43@example.com,Business Traveler
82,2021-02-13,6,Family,Bus Tour,Make simply sing better,Half Day,74.12,5,11,2021-02-24,1,Website,Transaction,82,Laurie Alvarez,Female,Gen Z,Widowed,solisteresa@example.net,Business Traveler
83,2021-12-05,2,Sport,Guided Tour,Yard option address,Evening,27.02,3,11,2021-12-16,1,Website,Transaction,83,Lynn Dixon,Male,Gen Z,Single,deanhubbard@example.com,Family
84,2021-01-17,5,Gastronomy,VIP Experience,Much sit,Personalized,40.57,1,1,2021-01-18,4,Travel Agency,Transaction,84,Victoria Christian,Male,Millennial,Married,allentravis@example.com,Business Traveler
85,2021-03-23,3,Adventure,Bus Tour,Alone would,Whole Day,80.38,9,15,2021-04-07,3,Partner Site,Transaction,85,Sara Rodgers,Male,Gen X,Divorced,vberry@example.net,Luxury Seeker
86,2021-11-10,3,Adventure,Walking Tour,Marriage development,Half Day,92.93,5,23,2021-12-03,3,Partner Site,Transaction,86,Kelly Hall,Male,Boomer,Married,kathleenwilliams@example.net,Business Traveler
87,2021-12-08,5,Gastronomy,Group Tour,Task party until,Evening,180.96,7,21,2021-12-29,1,Website,Card,87,Mr. Jacob Roberts,Male,Gen X,Single,christophercruz@example.com,Luxury Seeker
88,2021-01-04,6,Family,Guided Tour,Key,Evening,46.71,10,21,2021-01-25,3,Partner Site,Card,88,Jose Landry,Male,Boomer,Widowed,josephbryant@example.net,Solo Traveler
89,2021-05-27,5,Gastronomy,Guided Tour,Expect PM full,Evening,101.99,8,20,2021-06-16,1,Website,Card,89,Jasmine Clayton,Female,Gen Z,Married,darrenhorton@example.net,Family
90,2021-05-10,5,Gastronomy,Guided Tour,Property,Morning,34.98,1,17,2021-05-27,2,Mobile App,Card,90,Ashley Nelson,Male,Gen X,Widowed,sweaver@example.net,Business Traveler
91,2021-05-07,5,Gastronomy,Guided Tour,Performance,Half Day,162.46,3,2,2021-05-09,4,Travel Agency,Card,91,Justin Wilkinson,Female,Millennial,Single,william99@example.com,Budget Traveler
92,2021-05-19,2,Sport,VIP Experience,Protect return,Morning,152.03,8,27,2021-06-15,2,Mobile App,PayPal,92,Kirk Taylor,Female,Gen Z,Widowed,steven20@example.com,Business Traveler
93,2021-07-10,1,Culture,Walking Tour,Skin fill,Whole Day,119.84,7,25,2021-08-04,1,Website,Transaction,93,Brian Copeland,Male,Gen Z,Married,qhall@example.net,Solo Traveler
94,2021-01-01,4,Spa&Relax,Guided Tour,Spend for,Evening,23.71,7,29,2021-01-30,4,Travel Agency,Card,94,Elizabeth Torres,Male,Millennial,Divorced,todd81@example.com,Budget Traveler
95,2021-10-15,6,Family,Group Tour,Civil care thought,Evening,97.08,7,13,2021-10-28,3,Partner Site,PayPal,95,Kimberly Robles,Male,Gen Z,Single,nicholas08@example.net,Family
96,2021-03-31,5,Gastronomy,Walking Tour,Enough,Personalized,59.26,1,22,2021-04-22,4,Travel Agency,Transaction,96,Bradley Hebert,Male,Gen X,Single,eric39@example.org,Business Traveler
97,2021-03-28,1,Culture,Self-Guided,Reflect pay material,Morning,180.41,9,27,2021-04-24,3,Partner Site,PayPal,97,Daniel Lewis,Male,Gen X,Single,iwebb@example.net,Luxury Seeker
98,2021-10-29,4,Spa&Relax,Walking Tour,Scene your edge,Evening,28.67,5,7,2021-11-05,1,Website,Transaction,98,David Martin,Male,Gen Z,Widowed,tara03@example.net,Solo Traveler
99,2021-09-21,1,Culture,Bus Tour,Every better,Personalized,39.72,2,19,2021-10-10,3,Partner Site,Transaction,99,Chad Hall,Male,Boomer,Widowed,cmcintyre@example.com,Business Traveler
100,2021-04-26,1,Culture,Guided Tour,Out generation,Half Day,170.77,5,20,2021-05-16,1,Website,PayPal,100,Amber Leonard,Female,Gen X,Single,pyoung@example.net,Budget Traveler
101,2021-12-23,4,Spa&Relax,Self-Guided,News phone total visit,Morning,24.19,8,14,2022-01-06,1,Website,PayPal,101,Tyler Moore,Male,Boomer,Divorced,schmidtsabrina@example.org,Luxury Seeker
102,2021-09-06,4,Spa&Relax,Self-Guided,Hand radio national,Half Day,180.76,2,11,2021-09-17,3,Partner Site,Card,102,Cassidy Perry,Male,Boomer,Single,erikmiller@example.net,Luxury Seeker
103,2021-04-20,2,Sport,Group Tour,These road news,Evening,72.4,10,2,2021-04-22,4,Travel Agency,PayPal,103,Jordan Mccarthy,Female,Boomer,Widowed,roserhonda@example.net,Family
104,2021-08-29,3,Adventure,Walking Tour,Consider build,Morning,64.7,4,25,2021-09-23,4,Travel Agency,PayPal,104,Michelle Young,Male,Millennial,Widowed,kimberlysmith@example.com,Budget Traveler
105,2021-03-15,2,Sport,Walking Tour,Price open,Evening,118.22,9,4,2021-03-19,1,Website,Card,105,Vicki Morgan,Female,Gen Z,Single,james49@example.net,Budget Traveler
106,2021-06-26,6,Family,Guided Tour,Shoulder know,Whole Day,110.5,1,8,2021-07-04,2,Mobile App,PayPal,106,Debra Poole,Male,Boomer,Single,jacobhernandez@example.org,Business Traveler
107,2021-11-18,5,Gastronomy,Group Tour,Wife student allow agency,Morning,108.03,10,1,2021-11-19,3,Partner Site,Card,107,Melanie Church,Female,Boomer,Single,ywalker@example.org,Business Traveler
108,2021-03-28,4,Spa&Relax,Self-Guided,Fall dinner,Morning,67.86,1,16,2021-04-13,1,Website,PayPal,108,Mary Ortega,Male,Gen X,Widowed,kevincastillo@example.org,Budget Traveler
109,2021-11-22,2,Sport,Guided Tour,Say type budget,Half Day,197.33,7,21,2021-12-13,4,Travel Agency,Card,109,Thomas Jackson,Female,Gen Z,Single,iharvey@example.net,Family
110,2021-06-17,6,Family,Walking Tour,World anyone field born,Half Day,150.35,5,25,2021-07-12,1,Website,Transaction,110,Sara Hopkins DDS,Male,Gen X,Widowed,wendycarter@example.net,Family
111,2021-05-20,2,Sport,Walking Tour,Yourself key,Personalized,125.8,6,19,2021-06-08,4,Travel Agency,Transaction,111,Lori Jones,Female,Gen X,Married,lisafernandez@example.org,Luxury Seeker
112,2021-02-04,3,Adventure,Self-Guided,Less medical ground,Half Day,177.83,10,15,2021-02-19,1,Website,Transaction,112,Hunter Sloan,Male,Millennial,Married,suarezbrandon@example.com,Business Traveler
113,2021-04-18,4,Spa&Relax,Group Tour,Wind seem,Whole Day,161.28,5,18,2021-05-06,3,Partner Site,PayPal,113,James Wilson,Female,Millennial,Married,jeffreyprice@example.com,Solo Traveler
114,2021-11-24,6,Family,Bus Tour,Happy agency almost,Whole Day,131.69,4,13,2021-12-07,1,Website,Transaction,114,Scott Christensen,Female,Boomer,Divorced,thomas43@example.net,Luxury Seeker
115,2021-10-30,3,Adventure,Group Tour,Year door establish,Evening,155.68,8,20,2021-11-19,1,Website,Transaction,115,Valerie Montoya,Male,Gen X,Married,mcgeeamy@example.com,Business Traveler
116,2021-07-15,2,Sport,Self-Guided,Tend dinner,Personalized,49.87,1,1,2021-07-16,4,Travel Agency,Transaction,116,Christopher Thompson,Female,Millennial,Married,herrerajames@example.org,Family
117,2021-11-28,6,Family,Walking Tour,Will form both,Morning,32.49,7,24,2021-12-22,2,Mobile App,Card,117,Matthew Villa,Female,Boomer,Widowed,stephaniecortez@example.org,Budget Traveler
118,2021-03-01,5,Gastronomy,Group Tour,Check key guy,Whole Day,35.95,9,30,2021-03-31,4,Travel Agency,PayPal,118,Jesse Phillips,Female,Boomer,Married,ericamoore@example.org,Family
119,2021-08-12,3,Adventure,Group Tour,For support,Morning,119.43,3,24,2021-09-05,2,Mobile App,Transaction,119,Gabrielle Montoya,Female,Gen X,Single,troy31@example.com,Family
120,2021-08-22,3,Adventure,Walking Tour,Father government,Half Day,178.63,5,21,2021-09-12,4,Travel Agency,Card,120,Sarah Clark,Male,Gen X,Widowed,jeremiah42@example.org,Solo Traveler
121,2021-06-21,1,Culture,VIP Experience,Write eight,Whole Day,199.81,10,25,2021-07-16,3,Partner Site,Transaction,121,Sean Mcgee,Female,Gen Z,Married,garybuck@example.com,Business Traveler
122,2021-06-01,3,Adventure,Guided Tour,Manage popular,Half Day,143.72,7,26,2021-06-27,2,Mobile App,Card,122,Diamond Kelly,Female,Millennial,Single,sheila24@example.net,Solo Traveler
123,2021-10-21,5,Gastronomy,Walking Tour,Realize growth,Personalized,27.64,1,15,2021-11-05,3,Partner Site,Transaction,123,Debbie Huerta,Female,Boomer,Single,keith78@example.org,Budget Traveler
124,2021-05-26,5,Gastronomy,Bus Tour,Director bar,Half Day,184.16,6,2,2021-05-28,2,Mobile App,PayPal,124,Toni Mcintosh,Female,Gen Z,Married,nealjaime@example.net,Business Traveler
125,2021-08-30,5,Gastronomy,Bus Tour,Tree develop board,Morning,82.47,9,5,2021-09-04,1,Website,Transaction,125,Gregory Singleton,Male,Millennial,Widowed,pamelaknight@example.com,Business Traveler
126,2021-03-13,3,Adventure,Bus Tour,Benefit score,Evening,155.5,9,4,2021-03-17,3,Partner Site,Card,126,Melanie Ramirez,Female,Gen Z,Widowed,jonathandavis@example.org,Family
127,2021-09-20,2,Sport,Walking Tour,Degree police,Half Day,127.07,4,17,2021-10-07,1,Website,Transaction,127,Rachel Padilla,Male,Boomer,Widowed,bmonroe@example.net,Solo Traveler
128,2021-11-09,3,Adventure,Self-Guided,Drive month security,Whole Day,26.22,8,28,2021-12-07,3,Partner Site,Card,128,Victoria Newman,Female,Boomer,Widowed,ronaldflores@example.net,Budget Traveler
129,2021-08-07,4,Spa&Relax,Guided Tour,Health party off,Half Day,199.54,4,13,2021-08-20,1,Website,PayPal,129,Michelle Green,Male,Gen X,Widowed,jessica29@example.net,Family
130,2021-01-23,1,Culture,Group Tour,Defense morning,Half Day,46.97,2,12,2021-02-04,3,Partner Site,PayPal,130,Erin Robertson,Female,Gen Z,Divorced,hmercado@example.com,Business Traveler
131,2021-01-24,3,Adventure,Bus Tour,Mission political issue,Half Day,94.98,3,23,2021-02-16,3,Partner Site,Card,131,Tammy Hines,Female,Millennial,Widowed,brianhunt@example.com,Family
132,2021-07-25,2,Sport,Walking Tour,Of,Evening,32.3,8,16,2021-08-10,4,Travel Agency,Card,132,Tracey Boyd,Male,Boomer,Divorced,nathan19@example.org,Budget Traveler
133,2021-09-21,3,Adventure,Walking Tour,Sound include,Whole Day,31.05,10,13,2021-10-04,2,Mobile App,PayPal,133,Miguel Hart,Female,Millennial,Divorced,stevenjackson@example.com,Business Traveler
134,2021-12-16,2,Sport,Group Tour,After across,Personalized,64.89,7,27,2022-01-12,4,Travel Agency,PayPal,134,Robert Ali,Female,Boomer,Divorced,miranda63@example.com,Family
135,2021-01-29,2,Sport,Self-Guided,Suggest go area,Evening,157.14,1,5,2021-02-03,3,Partner Site,PayPal,135,Christopher Hart,Male,Millennial,Widowed,nicholaswalker@example.net,Family
136,2021-01-08,2,Sport,VIP Experience,Eye southern,Half Day,95.27,1,25,2021-02-02,3,Partner Site,Transaction,136,Vincent Howell,Female,Gen X,Married,kmoore@example.net,Business Traveler
137,2021-04-23,6,Family,Group Tour,Price deep,Evening,85.15,4,30,2021-05-23,2,Mobile App,PayPal,137,Joseph Smith MD,Female,Gen X,Divorced,ericblair@example.net,Family
138,2021-07-23,3,Adventure,VIP Experience,Entire audience before back,Personalized,156.08,1,8,2021-07-31,2,Mobile App,Transaction,138,Andrew Wright,Female,Gen X,Divorced,djohnson@example.org,Family
