Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
19,2020-04-06,4,Spa&Relax,Group Tour,Couple large,Evening,175.49,7,12,2020-04-18,1,Website,Transaction,19,Donald Wright,Male,Gen Z,Widowed,ramosmichelle@example.net,Family
20,2020-02-08,2,Sport,Guided Tour,Reach,Personalized,100.75,2,8,2020-02-16,4,Travel Agency,Card,20,Dr. Tracy House DVM,Female,Boomer,Married,richardolson@example.com,Budget Traveler
21,2020-12-16,5,Gastronomy,Walking Tour,Clearly able,Whole Day,137.39,8,26,2021-01-11,1,Website,Card,21,Timothy Glover,Male,Millennial,Widowed,rodney87@example.org,Solo Traveler
22,2020-03-14,4,Spa&Relax,Walking Tour,Design around,Half Day,88.22,8,7,2020-03-21,4,Travel Agency,PayPal,22,Amy Edwards,Female,Gen X,Widowed,silvawesley@example.net,Business Traveler
23,2020-03-02,2,Sport,Self-Guided,Whether bag,Half Day,194.37,8,5,2020-03-07,1,Website,Transaction,23,Kurt Leonard,Female,Gen Z,Single,richarddavid@example.net,Business Traveler
24,2020-04-05,5,Gastronomy,Guided Tour,Organization people information on,Whole Day,192.94,8,17,2020-04-22,1,Website,Card,24,Taylor Harris,Male,Gen Z,Married,john62@example.net,Solo Traveler
25,2020-09-07,5,Gastronomy,Guided Tour,Lead upon,Personalized,127.01,2,29,2020-10-06,1,Website,PayPal,25,Alexandra Howell,Female,Gen X,Married,jonesjason@example.com,Family
26,2020-02-21,4,Spa&Relax,Guided Tour,Thing these hard,Morning,102.3,4,9,2020-03-01,1,Website,Card,26,Roy Warner,Female,Gen Z,Single,contrerasangela@example.net,Business Traveler
27,2020-02-10,3,Adventure,Guided Tour,Enough threat,Morning,178.56,4,17,2020-02-27,2,Mobile App,PayPal,27,Brittney Campbell,Female,Millennial,Widowed,jenniferharris@example.net,Business Traveler
28,2020-11-27,6,Family,VIP Experience,Measure economy,Whole Day,140.22,5,20,2020-12-17,3,Partner Site,Transaction,28,Amber Walters,Male,Millennial,Divorced,bradley52@example.net,Budget Traveler
29,2020-04-11,5,Gastronomy,Guided Tour,Scientist necessary,Morning,70.72,2,24,2020-05-05,2,Mobile App,Transaction,29,Adam Jones,Female,Millennial,Divorced,amydavenport@example.net,Business Traveler
30,2020-08-02,1,Culture,Walking Tour,Involve among,Evening,169.28,8,9,2020-08-11,1,Website,Card,30,Timothy Stanton,Female,Millennial,Divorced,nolanjason@example.org,Luxury Seeker
31,2020-09-16,6,Family,Group Tour,Government nice,Personalized,21.74,8,18,2020-10-04,1,Website,Transaction,31,Valerie Brady,Male,Gen Z,Divorced,michellecherry@example.org,Business Traveler
32,2020-12-08,4,Spa&Relax,Guided Tour,Agent say forward,Whole Day,75.49,9,5,2020-12-13,1,Website,PayPal,32,Rebekah Shields,Male,Millennial,Single,josephcobb@example.org,Family
33,2020-05-28,4,Spa&Relax,VIP Experience,Town,Half Day,186.64,9,29,2020-06-26,2,Mobile App,Card,33,Curtis Sellers,Male,Boomer,Single,kevin33@example.org,Luxury Seeker
34,2020-09-13,4,Spa&Relax,Bus Tour,Huge everything,Half Day,68.03,6,26,2020-10-09,1,Website,PayPal,34,Raymond Bell,Male,Boomer,Married,ifrazier@example.com,Luxury Seeker
35,2020-12-30,3,Adventure,Guided Tour,Business,Half Day,24.26,8,12,2021-01-11,2,Mobile App,PayPal,35,Debbie Carpenter,Female,Gen X,Single,benjamin96@example.com,Family
36,2020-10-09,5,Gastronomy,Group Tour,Job worker break,Personalized,79.61,6,21,2020-10-30,1,Website,Card,36,Cheryl Williams,Female,Millennial,Divorced,zsmith@example.net,Budget Traveler
37,2020-09-23,4,Spa&Relax,Self-Guided,Hair attorney,Morning,98.55,2,20,2020-10-13,1,Website,PayPal,37,Erin Edwards,Male,Gen X,Single,cortezkevin@example.com,Solo Traveler
38,2020-09-15,5,Gastronomy,Bus Tour,For recent never,Half Day,85.56,1,17,2020-10-02,1,Website,Transaction,38,Maurice Gray,Female,Gen X,Single,christinaturner@example.net,Family
39,2020-11-19,6,Family,Group Tour,Fly,Morning,92.43,9,10,2020-11-29,3,Partner Site,Transaction,39,Jeffrey Carpenter,Male,Millennial,Widowed,steven73@example.net,Solo Traveler
40,2020-07-02,5,Gastronomy,Self-Guided,Probably exist,Evening,118.63,3,20,2020-07-22,1,Website,PayPal,40,Lisa Davis,Female,Millennial,Widowed,emilywalker@example.org,Business Traveler
41,2020-02-27,3,Adventure,Group Tour,Any,Evening,99.59,10,21,2020-03-19,2,Mobile App,Transaction,41,John Atkinson,Female,Millennial,Single,gibsonolivia@example.net,Family
42,2020-03-16,6,Family,VIP Experience,Manager during prevent,Morning,36.81,9,22,2020-04-07,2,Mobile App,Transaction,42,Paul Carrillo,Female,Millennial,Married,osbornejeffery@example.net,Luxury Seeker
43,2020-07-20,2,Sport,Group Tour,Anyone eat summer,Personalized,172.95,1,2,2020-07-22,1,Website,PayPal,43,Robert Contreras,Female,Millennial,Widowed,stephanie79@example.net,Solo Traveler
44,2020-12-12,2,Sport,Bus Tour,Interview trade knowledge,Whole Day,180.68,7,8,2020-12-20,1,Website,PayPal,44,Scott Cole,Male,Millennial,Widowed,maryramirez@example.net,Budget Traveler
45,2020-07-07,1,Culture,Group Tour,Dream key require doctor,Half Day,164.25,9,8,2020-07-15,3,Partner Site,PayPal,45,Steven Miller,Female,Boomer,Married,jessebenson@example.net,Solo Traveler
46,2020-03-24,2,Sport,Bus Tour,Increase former,Morning,157.85,8,9,2020-04-02,4,Travel Agency,Transaction,46,Antonio Wall,Male,Gen X,Widowed,lstein@example.net,Budget Traveler
47,2020-01-08,3,Adventure,Self-Guided,Herself accept goal,Morning,180.74,5,8,2020-01-16,1,Website,Card,47,Sarah Ashley,Male,Millennial,Widowed,vmedina@example.net,Luxury Seeker
48,2020-11-06,4,Spa&Relax,Group Tour,Today major event magazine,Morning,117.67,4,3,2020-11-09,4,Travel Agency,Card,48,Michael Yates,Male,Boomer,Widowed,marycalhoun@example.net,Business Traveler
49,2020-07-26,5,Gastronomy,Group Tour,What,Evening,21.06,1,28,2020-08-23,3,Partner Site,PayPal,49,Justin Johnson,Female,Boomer,Married,dtaylor@example.org,Solo Traveler
50,2020-01-20,4,Spa&Relax,Group Tour,Here deep,Whole Day,89.99,4,9,2020-01-29,4,Travel Agency,Transaction,50,Philip Gray,Male,Boomer,Married,fking@example.com,Business Traveler
51,2020-01-08,4,Spa&Relax,VIP Experience,Appear weight difference,Personalized,139.34,9,1,2020-01-09,1,Website,Transaction,51,Tyler Williams,Female,Millennial,Widowed,herringjames@example.org,Luxury Seeker
52,2020-08-29,4,Spa&Relax,Self-Guided,Draw list,Half Day,101.85,1,9,2020-09-07,3,Partner Site,PayPal,52,Travis Marshall,Female,Boomer,Divorced,katie29@example.net,Budget Traveler
53,2020-10-17,6,Family,VIP Experience,Sing clearly,Whole Day,199.98,8,1,2020-10-18,3,Partner Site,Card,53,Kenneth Hickman,Male,Gen Z,Single,tsanders@example.org,Luxury Seeker
54,2020-01-30,1,Culture,VIP Experience,Real physical big significant,Half Day,62.94,4,27,2020-02-26,4,Travel Agency,Transaction,54,Lindsay Martinez,Male,Millennial,Widowed,reedross@example.com,Family
55,2020-01-27,5,Gastronomy,VIP Experience,Positive actually information,Whole Day,160.0,6,6,2020-02-02,2,Mobile App,PayPal,55,Jeffrey Cox PhD,Male,Gen Z,Divorced,bzimmerman@example.org,Business Traveler
56,2020-10-11,6,Family,Guided Tour,Whole establish space,Whole Day,126.58,7,13,2020-10-24,2,Mobile App,Card,56,Karen Graham,Female,Gen Z,Single,marcus31@example.com,Family
57,2020-12-08,6,Family,Self-Guided,During let particular,Whole Day,111.07,9,14,2020-12-22,3,Partner Site,Card,57,Allen Rosales,Female,Boomer,Single,tonykelly@example.com,Solo Traveler
58,2020-05-12,4,Spa&Relax,Bus Tour,They red,Half Day,98.39,6,21,2020-06-02,3,Partner Site,Transaction,58,Adam Vaughan,Female,Boomer,Widowed,allenrichard@example.net,Business Traveler
59,2020-10-21,2,Sport,Walking Tour,Real position,Morning,178.69,5,11,2020-11-01,2,Mobile App,PayPal,59,Ricky Davis II,Female,Gen X,Single,kevinperkins@example.com,Solo Traveler
60,2020-08-02,4,Spa&Relax,Guided Tour,Gas you nearly,Morning,163.61,6,6,2020-08-08,3,Partner Site,PayPal,60,Jesse Parker,Female,Gen Z,Married,davidlee@example.org,Budget Traveler
61,2020-10-15,4,Spa&Relax,Group Tour,Week real course,Personalized,156.47,4,24,2020-11-08,4,Travel Agency,Transaction,61,Destiny Lawrence,Female,Boomer,Single,tina34@example.org,Budget Traveler
62,2020-05-20,4,Spa&Relax,Bus Tour,Few remain,Half Day,75.12,5,8,2020-05-28,3,Partner Site,PayPal,62,Angel Brown,Female,Boomer,Divorced,heidi27@example.org,Family
63,2020-12-04,3,Adventure,Self-Guided,Painting,Half Day,41.72,8,9,2020-12-13,2,Mobile App,PayPal,63,John Peterson,Male,Millennial,Married,kingmichelle@example.org,Luxury Seeker
64,2020-11-15,6,Family,VIP Experience,Husband available,Personalized,127.42,8,9,2020-11-24,1,Website,Card,64,Amy Hernandez,Female,Millennial,Divorced,christopher31@example.net,Luxury Seeker
65,2020-10-23,6,Family,VIP Experience,Paper so difficult,Half Day,69.38,5,1,2020-10-24,1,Website,Transaction,65,Joanna Ramos,Female,Millennial,Widowed,ntorres@example.org,Budget Traveler
66,2020-08-24,3,Adventure,Group Tour,Way debate,Evening,99.28,1,19,2020-09-12,2,Mobile App,Card,66,Matthew Moore,Female,Boomer,Single,andreamoore@example.com,Budget Traveler
67,2020-06-23,1,Culture,VIP Experience,Like allow explain executive,Whole Day,47.31,7,16,2020-07-09,3,Partner Site,Card,67,Andrea Hall,Male,Gen Z,Widowed,kristin93@example.com,Business Traveler
68,2020-02-14,5,Gastronomy,Guided Tour,Different chance enter,Personalized,88.47,10,26,2020-03-11,4,Travel Agency,PayPal,68,Anthony Sparks,Female,Gen X,Single,scott74@example.net,Business Traveler
69,2020-06-05,2,Sport,Bus Tour,Matter management,Half Day,67.64,2,25,2020-06-30,1,Website,Card,69,Andrew Reynolds,Male,Millennial,Single,cassandra01@example.org,Luxury Seeker
70,2020-09-18,4,Spa&Relax,Bus Tour,Onto again share,Personalized,104.58,1,14,2020-10-02,1,Website,Card,70,Laura Hines,Female,Gen X,Widowed,thomaspearson@example.com,Budget Traveler
71,2020-03-11,3,Adventure,Bus Tour,Job sport why like,Personalized,139.01,4,30,2020-04-10,2,Mobile App,PayPal,71,Frank Garcia,Male,Millennial,Married,marksteele@example.com,Family
72,2020-09-14,1,Culture,Guided Tour,Spend nearly lawyer,Morning,127.11,3,3,2020-09-17,3,Partner Site,PayPal,72,Frank Cordova,Male,Boomer,Divorced,ahancock@example.net,Solo Traveler
73,2020-12-03,5,Gastronomy,Group Tour,Left approach million,Evening,34.48,5,17,2020-12-20,1,Website,PayPal,73,Kathleen Ramos,Female,Gen X,Single,harrisandrea@example.com,Budget Traveler
74,2020-06-19,5,Gastronomy,VIP Experience,Building win participant,Whole Day,199.92,4,22,2020-07-11,3,Partner Site,Transaction,74,Christopher Pierce,Male,Millennial,Widowed,hdavis@example.com,Business Traveler
75,2020-02-15,3,Adventure,Guided Tour,Marriage respond,Personalized,98.46,8,30,2020-03-16,4,Travel Agency,Card,75,Denise Davenport,Female,Gen X,Widowed,jsanchez@example.org,Family
76,2020-05-28,1,Culture,Guided Tour,Two meet,Morning,94.1,6,22,2020-06-19,4,Travel Agency,PayPal,76,Sharon Hill,Female,Gen Z,Widowed,ymorgan@example.net,Budget Traveler
77,2020-04-13,3,Adventure,Walking Tour,Fear,Evening,175.68,6,9,2020-04-22,1,Website,Transaction,77,Sara Carpenter,Female,Boomer,Single,cgrimes@example.net,Luxury Seeker
78,2020-07-07,5,Gastronomy,Group Tour,Forward several help,Evening,156.8,9,12,2020-07-19,2,Mobile App,PayPal,78,Sheila Pollard,Male,Gen X,Widowed,ashleyhall@example.com,Solo Traveler
79,2020-01-17,6,Family,VIP Experience,Seat relate specific,Half Day,147.76,2,1,2020-01-18,3,Partner Site,Transaction,79,Matthew Hoover,Male,Boomer,Single,tylerjohnson@example.net,Luxury Seeker
80,2020-08-17,1,Culture,Bus Tour,Thank them key,Half Day,109.71,2,15,2020-09-01,3,Partner Site,Transaction,80,Joyce Bowen,Female,Boomer,Widowed,jpitts@example.org,Solo Traveler
81,2020-07-01,5,Gastronomy,Guided Tour,Full realize,Evening,54.31,4,15,2020-07-16,2,Mobile App,Card,81,Sarah Phelps,Female,Boomer,Divorced,ofinley@example.net,Business Traveler
82,2020-12-10,1,Culture,Self-Guided,Their along attention,Morning,170.75,5,27,2021-01-06,4,Travel Agency,Card,82,Tammie Bright,Female,Boomer,Divorced,hamiltoncorey@example.net,Family
83,2020-09-30,5,Gastronomy,Group Tour,Kitchen really,Evening,187.91,9,25,2020-10-25,2,Mobile App,Transaction,83,Amber Flynn,Male,Boomer,Married,michael62@example.org,Solo Traveler
84,2020-07-25,6,Family,Group Tour,Not society color,Evening,89.49,1,11,2020-08-05,2,Mobile App,PayPal,84,Seth Harvey,Male,Millennial,Divorced,tyleraguilar@example.org,Budget Traveler
85,2020-06-28,5,Gastronomy,Group Tour,Least project,Whole Day,150.04,8,4,2020-07-02,4,Travel Agency,Transaction,85,Julie Roberts,Male,Gen Z,Widowed,charleslandry@example.net,Family
86,2020-04-26,6,Family,Group Tour,Real lead few,Whole Day,173.32,6,20,2020-05-16,4,Travel Agency,PayPal,86,Dr. Ashley James MD,Female,Gen Z,Single,victoria40@example.net,Luxury Seeker
87,2020-06-02,6,Family,Walking Tour,Account ten,Evening,196.1,5,8,2020-06-10,1,Website,PayPal,87,Valerie Lozano,Male,Gen X,Single,swall@example.org,Budget Traveler
88,2020-08-23,1,Culture,Self-Guided,Despite couple economy,Morning,87.47,6,26,2020-09-18,2,Mobile App,Card,88,Patricia Becker,Female,Millennial,Married,courtneyberger@example.net,Luxury Seeker
89,2020-01-16,4,Spa&Relax,VIP Experience,Small almost,Half Day,109.58,2,20,2020-02-05,2,Mobile App,Card,89,Carlos Browning,Female,Gen X,Widowed,julie23@example.org,Family
90,2020-11-01,4,Spa&Relax,Self-Guided,Theory hand maybe,Personalized,48.44,1,29,2020-11-30,4,Travel Agency,PayPal,90,Christopher Sloan,Female,Boomer,Divorced,scoffey@example.net,Solo Traveler
91,2020-12-04,4,Spa&Relax,Group Tour,Sound life away,Whole Day,62.7,5,7,2020-12-11,3,Partner Site,Transaction,91,Courtney Rhodes,Female,Gen X,Single,zcoffey@example.net,Solo Traveler
92,2020-05-22,5,Gastronomy,Bus Tour,So add,Whole Day,183.91,5,1,2020-05-23,4,Travel Agency,PayPal,92,Jordan Chambers,Male,Gen X,Married,brenda51@example.net,Luxury Seeker
93,2020-03-31,6,Family,Bus Tour,Agent this no,Half Day,133.08,10,9,2020-04-09,1,Website,PayPal,93,Connie Brown,Female,Gen Z,Divorced,tblankenship@example.net,Luxury Seeker
94,2020-06-07,3,Adventure,Self-Guided,Cause watch,Evening,51.62,2,30,2020-07-07,2,Mobile App,Transaction,94,Johnathan Davis,Female,Gen X,Married,paulwatson@example.net,Family
95,2020-09-27,3,Adventure,Bus Tour,Industry score choice,Morning,164.76,8,26,2020-10-23,4,Travel Agency,Card,95,Brett Burns,Male,Millennial,Widowed,rcrosby@example.org,Business Traveler
96,2020-09-25,4,Spa&Relax,Walking Tour,Describe know door,Morning,116.58,6,3,2020-09-28,4,Travel Agency,PayPal,96,William Richardson,Female,Boomer,Divorced,bruce43@example.org,Budget Traveler
97,2020-11-25,1,Culture,VIP Experience,Begin deep police,Personalized,79.04,4,16,2020-12-11,2,Mobile App,Transaction,97,Amber Cook,Male,Boomer,Divorced,kristinharris@example.net,Solo Traveler
98,2020-03-21,1,Culture,Walking Tour,Democratic thank forget challenge,Morning,199.27,2,5,2020-03-26,1,Website,Card,98,April Garrison,Male,Millennial,Widowed,vanessafernandez@example.org,Solo Traveler
99,2020-02-12,6,Family,Bus Tour,Catch,Personalized,95.44,6,22,2020-03-05,2,Mobile App,PayPal,99,Richard Young,Male,Boomer,Widowed,alfred40@example.org,Family
100,2020-10-15,3,Adventure,Guided Tour,Moment second live,Evening,100.05,1,23,2020-11-07,2,Mobile App,PayPal,100,Kayla Rodriguez,Male,Gen X,Divorced,soniawilliams@example.net,Budget Traveler
101,2020-07-21,2,Sport,Walking Tour,Leader who,Evening,36.5,7,9,2020-07-30,2,Mobile App,Transaction,101,John Morales,Male,Gen Z,Divorced,henryrenee@example.org,Luxury Seeker
102,2020-12-15,5,Gastronomy,Guided Tour,Focus chance,Whole Day,169.37,3,26,2021-01-10,2,Mobile App,Transaction,102,Marcus Richards,Male,Millennial,Divorced,oscar98@example.com,Luxury Seeker
103,2020-06-25,3,Adventure,Guided Tour,Painting between reduce,Half Day,117.24,10,1,2020-06-26,2,Mobile App,Card,103,Marilyn Mack,Male,Millennial,Single,russellbeasley@example.com,Family
104,2020-05-11,3,Adventure,Walking Tour,Human role fine,Half Day,67.77,4,19,2020-05-30,2,Mobile App,Transaction,104,David Mckay,Female,Gen Z,Single,fjones@example.org,Solo Traveler
105,2020-06-16,3,Adventure,VIP Experience,Season head,Personalized,39.63,8,25,2020-07-11,2,Mobile App,Transaction,105,Anthony Frye,Male,Gen X,Widowed,elizabeth65@example.net,Budget Traveler
106,2020-10-18,4,Spa&Relax,Group Tour,Test return why,Whole Day,108.25,1,16,2020-11-03,4,Travel Agency,Card,106,Heather Lane,Male,Gen X,Married,ericolson@example.org,Budget Traveler
107,2020-05-15,5,Gastronomy,Bus Tour,Happen several off,Personalized,118.7,3,9,2020-05-24,3,Partner Site,PayPal,107,Sarah Villegas,Female,Boomer,Widowed,lynchdiane@example.net,Budget Traveler
108,2020-04-13,6,Family,Bus Tour,Couple,Personalized,149.75,2,28,2020-05-11,2,Mobile App,PayPal,108,Phillip Dorsey,Female,Millennial,Widowed,adam29@example.net,Family
109,2020-06-04,4,Spa&Relax,Bus Tour,Center plan,Whole Day,76.26,8,13,2020-06-17,3,Partner Site,Transaction,109,Paul Lewis,Female,Gen X,Married,kchavez@example.com,Solo Traveler
110,2020-05-01,1,Culture,Walking Tour,Since nothing be,Evening,37.38,2,3,2020-05-04,3,Partner Site,Card,110,Christopher Williamson,Male,Gen X,Single,nelsonebony@example.com,Solo Traveler
111,2020-08-23,6,Family,Group Tour,Increase democratic mention,Whole Day,194.31,6,28,2020-09-20,3,Partner Site,PayPal,111,Brian Gregory,Male,Millennial,Married,trose@example.org,Solo Traveler
112,2020-03-26,1,Culture,Self-Guided,Worker area daughter,Personalized,86.16,4,28,2020-04-23,3,Partner Site,Transaction,112,Pamela Duran,Male,Boomer,Single,mark07@example.net,Business Traveler
113,2020-06-16,2,Sport,Self-Guided,Can mouth,Morning,185.88,5,1,2020-06-17,3,Partner Site,Card,113,Justin Barnett,Male,Millennial,Widowed,charles06@example.org,Budget Traveler
114,2020-06-27,6,Family,Walking Tour,Television office,Whole Day,154.3,3,24,2020-07-21,2,Mobile App,PayPal,114,Michelle Butler,Female,Boomer,Divorced,sullivantammy@example.org,Luxury Seeker
115,2020-11-07,6,Family,Self-Guided,Least ready gun join,Personalized,127.32,6,10,2020-11-17,1,Website,Card,115,Jeffrey Morales,Male,Gen Z,Single,fosterkyle@example.com,Family
116,2020-03-27,4,Spa&Relax,Group Tour,Single baby plan,Personalized,99.57,8,22,2020-04-18,3,Partner Site,Card,116,Cheyenne Parsons,Male,Gen X,Widowed,jessica23@example.org,Budget Traveler
117,2020-02-26,6,Family,VIP Experience,Culture own,Evening,114.85,5,22,2020-03-19,3,Partner Site,Card,117,Mary Thompson,Male,Boomer,Single,kmarshall@example.net,Budget Traveler
118,2020-06-23,2,Sport,Guided Tour,Poor worry follow,Morning,72.1,4,10,2020-07-03,1,Website,Card,118,Emily Gonzales,Female,Boomer,Married,tramos@example.com,Luxury Seeker
119,2020-08-17,6,Family,Guided Tour,Goal avoid,Personalized,120.57,7,18,2020-09-04,3,Partner Site,Card,119,Andrew Wood,Female,Gen Z,Widowed,chase19@example.net,Budget Traveler
120,2020-07-15,1,Culture,Self-Guided,Leg never social,Personalized,97.27,8,30,2020-08-14,4,Travel Agency,Transaction,120,Joanna Pacheco,Female,Gen X,Single,marcalvarez@example.org,Solo Traveler
121,2020-01-25,2,Sport,VIP Experience,Billion tonight gas,Evening,169.76,1,11,2020-02-05,3,Partner Site,Card,121,Kathy Thompson,Female,Gen Z,Married,jasmineritter@example.net,Solo Traveler
122,2020-07-22,5,Gastronomy,Walking Tour,City health executive impact,Evening,176.69,10,13,2020-08-04,3,Partner Site,Card,122,Kyle Mccormick,Female,Millennial,Single,cameron18@example.net,Business Traveler
123,2020-05-30,5,Gastronomy,Guided Tour,Edge surface,Morning,83.2,2,17,2020-06-16,2,Mobile App,Card,123,Lindsey Hernandez,Male,Millennial,Divorced,aguilardonald@example.com,Luxury Seeker
124,2020-04-30,2,Sport,Bus Tour,Can remember be,Whole Day,51.89,3,20,2020-05-20,4,Travel Agency,PayPal,124,Maria Murphy,Female,Gen X,Divorced,elizabethcalderon@example.net,Luxury Seeker
125,2020-09-23,4,Spa&Relax,Group Tour,Behavior provide meet,Morning,163.34,8,3,2020-09-26,1,Website,PayPal,125,Eric Bean,Male,Gen X,Widowed,stacey73@example.org,Solo Traveler
126,2020-02-23,3,Adventure,Self-Guided,Baby such,Whole Day,136.04,1,2,2020-02-25,1,Website,Transaction,126,Randy Conley,Female,Boomer,Single,stanleynancy@example.net,Solo Traveler
127,2020-02-20,2,Sport,Self-Guided,Heavy class story side,Personalized,105.61,10,21,2020-03-12,2,Mobile App,Card,127,Carol Kim,Female,Gen Z,Divorced,udiaz@example.org,Budget Traveler
128,2020-06-21,2,Sport,Walking Tour,Expect security large move,Half Day,147.37,9,21,2020-07-12,4,Travel Agency,Transaction,128,Robert Harrison,Male,Gen X,Divorced,michealvalentine@example.com,Family
129,2020-06-28,3,Adventure,Bus Tour,Sing me,Personalized,29.43,7,14,2020-07-12,3,Partner Site,Card,129,Christopher Gonzalez,Female,Gen Z,Widowed,moniquewilliams@example.com,Family
130,2020-12-05,6,Family,VIP Experience,Never bill suffer,Half Day,80.01,5,24,2020-12-29,2,Mobile App,PayPal,130,Dominique Hines,Female,Boomer,Married,shannon82@example.com,Business Traveler
131,2020-02-05,5,Gastronomy,Group Tour,Stage this,Morning,166.37,2,10,2020-02-15,1,Website,Transaction,131,Jennifer Sanders,Female,Gen X,Single,joe15@example.org,Family
132,2020-01-11,2,Sport,Self-Guided,Us stuff practice,Evening,54.56,5,6,2020-01-17,2,Mobile App,Card,132,Brenda Mitchell,Male,Gen X,Single,ihorton@example.net,Business Traveler
133,2020-07-01,6,Family,VIP Experience,Past town affect,Whole Day,139.15,9,27,2020-07-28,2,Mobile App,Transaction,133,Chase Bentley,Female,Millennial,Married,srodriguez@example.org,Luxury Seeker
134,2020-04-26,2,Sport,Bus Tour,Answer information,Evening,27.86,10,26,2020-05-22,3,Partner Site,Transaction,134,Joyce Rodriguez,Male,Boomer,Divorced,bcarlson@example.net,Solo Traveler
135,2020-07-19,2,Sport,Self-Guided,Drop century investment,Evening,182.72,4,18,2020-08-06,2,Mobile App,PayPal,135,Cynthia Butler,Female,Boomer,Divorced,millsmichael@example.net,Solo Traveler
136,2020-07-30,4,Spa&Relax,Guided Tour,Skill medical after,Half Day,164.23,9,17,2020-08-16,2,Mobile App,PayPal,136,Amanda Hughes,Male,Boomer,Divorced,jon05@example.org,Business Traveler
137,2020-05-13,5,Gastronomy,Walking Tour,Run pick,Morning,35.1,2,23,2020-06-05,2,Mobile App,PayPal,137,Nancy Cook,Female,Millennial,Widowed,bellmatthew@example.net,Budget Traveler
